City_ID,City_Name,Country,Region_Type,Population,Density_per_km2,Public_Transport_Score_0_100,Air_Quality_AQI,Green_Space_m2_per_capita,Crime_Rate_per_100k,Employment_Rate_pct,Median_Income_USD,Housing_Affordability_Index,Education_Access_Score_0_100,Healthcare_Access_Score_0_100,Broadband_Coverage_pct,Climate_Resilience_Score_0_100,Happiness_Index_0_10,Overall_Quality_of_Life_Score_0_100,QoL_Tier
1,Oakridge 001,Portugal,Rural-Regional,1369271,648,62.0,40,31.9,554,95.1,52170,75.8,65.2,69.0,92.2,81.5,6.2,70.2,Improving
2,Lakeside 002,Ireland,Suburban,418208,2859,74.6,59,28.1,622,97.3,49079,106.4,53.6,63.3,79.6,55.0,5.4,58.9,Improving
3,Westhaven 003,Canada,Rural-Regional,550207,740,45.6,45,12.6,576,87.1,20000,99.3,46.3,52.9,93.9,59.1,3.7,46.2,Needs Support
4,Riverton 004,Denmark,Rural-Regional,676125,781,68.1,57,36.4,607,91.6,36559,74.9,47.2,72.4,86.6,89.9,6.1,68.1,Improving
5,Greenhaven 005,Japan,Suburban,350141,1341,65.2,60,19.5,470,92.0,50671,84.1,69.6,70.4,91.3,76.2,5.1,67.4,Improving
6,Springdale 006,Norway,Suburban,540979,2524,45.4,61,39.0,553,90.5,44494,110.0,53.2,68.5,96.8,80.9,6.3,64.7,Improving
7,Northport 007,Sweden,Suburban,540100,1930,80.2,60,41.4,1046,91.2,68544,73.0,76.3,63.7,81.3,65.1,5.8,68.6,Improving
8,Seaview 008,Ireland,Suburban,205849,2555,56.4,52,32.6,750,91.3,74244,84.8,79.2,59.7,80.3,94.3,6.3,72.1,Thriving
9,Kingsford 009,Norway,Suburban,945729,1282,71.6,64,34.9,643,90.9,43344,105.8,62.1,65.7,89.0,89.9,5.5,64.9,Improving
10,Riverton 010,Norway,Suburban,751836,1488,58.6,74,16.8,608,90.6,50925,118.8,81.6,70.3,78.8,80.6,4.5,59.6,Improving
11,Fairview 011,Japan,Suburban,383085,875,74.9,47,48.0,409,94.2,39614,110.6,67.3,66.7,80.9,72.0,7.2,75.5,Thriving
12,Sunnyside 012,Japan,Suburban,491711,1374,79.3,57,28.7,578,96.0,61012,128.0,76.2,66.6,85.2,83.4,6.5,70.8,Improving
13,Riverton 013,New Zealand,Suburban,713483,2267,54.6,60,34.2,511,97.6,41750,137.9,62.7,63.3,87.1,90.8,5.5,59.6,Improving
14,Greenhaven 014,Sweden,Suburban,468014,1387,45.2,77,20.1,701,90.4,41972,123.0,74.6,71.4,77.3,71.2,4.7,57.4,Improving
15,Pinecrest 015,Portugal,Suburban,472828,2125,62.8,75,25.8,395,89.1,33691,103.0,55.6,70.3,83.3,74.1,4.9,59.8,Improving
