Region_ID,Region_Name,Country,Doctors_per_1000,Insurance_Coverage_pct,Preventive_Care_Visits_per_1000,Telemedicine_Adoption_pct,Emergency_Response_Time_min,Life_Expectancy_years,Healthcare_Tier
1,Region 001,Denmark,2.37,65.4,593.5,46.1,9.4,79.5,Strong
2,Region 002,Morocco,1.79,74.0,850.5,33.0,16.4,83.4,Strong
3,Region 003,Italy,2.31,62.6,269.4,77.2,18.8,76.1,Improving
4,Region 004,Australia,3.09,96.5,806.9,22.6,17.6,71.8,Strong
5,Region 005,Canada,1.86,91.6,692.1,69.0,18.5,63.9,Strong
6,Region 006,Finland,1.71,83.2,256.9,42.7,12.2,75.1,Strong
7,Region 007,Jordan,1.41,89.7,771.1,57.7,12.1,86.5,Leading
8,Region 008,Norway,3.33,99.0,748.0,36.6,28.7,73.2,Strong
9,Region 009,Sweden,1.57,97.3,620.5,62.5,17.0,72.7,Strong
10,Region 010,Norway,2.88,99.0,894.3,24.2,22.8,80.3,Leading
11,Region 011,Poland,1.2,64.1,478.9,47.6,10.0,80.4,Strong
12,Region 012,Czechia,0.41,60.9,621.9,37.1,13.7,79.5,Strong
13,Region 013,Mexico,1.82,95.6,1090.4,57.3,22.2,74.7,Strong
14,Region 014,Sweden,2.53,71.9,589.5,26.5,16.5,73.1,Strong
15,Region 015,India,3.3,53.7,611.8,38.3,6.5,72.5,Improving
16,Region 016,Poland,3.04,72.7,481.4,21.3,9.9,78.1,Strong
17,Region 017,Morocco,2.61,93.7,916.0,34.2,14.9,84.1,Leading
18,Region 018,Finland,0.4,66.0,208.3,29.3,26.7,65.7,Improving
19,Region 019,Ireland,2.76,90.2,556.6,28.9,19.5,71.4,Strong
20,Region 020,Sweden,1.0,79.0,491.8,28.2,10.5,76.9,Strong
21,Region 021,Czechia,1.7,56.1,395.8,9.3,16.8,71.6,Improving
22,Region 022,Norway,3.93,88.5,591.5,37.1,15.7,72.2,Strong
23,Region 023,Poland,3.22,80.2,821.2,63.3,5.0,76.7,Leading
24,Region 024,Norway,1.36,67.2,490.6,85.1,12.2,77.9,Strong
25,Region 025,Poland,2.02,55.6,84.8,16.1,14.1,67.9,Improving
26,Region 026,Morocco,3.03,99.0,892.2,28.4,14.8,79.4,Leading
27,Region 027,Denmark,2.2,63.8,815.4,39.2,8.9,73.7,Strong
28,Region 028,Australia,2.14,46.8,353.4,38.0,17.9,75.1,Improving
29,Region 029,Japan,1.32,87.7,771.8,16.0,13.7,75.5,Strong
30,Region 030,Australia,2.81,72.3,453.7,2.0,12.0,76.0,Strong
31,Region 031,Finland,2.93,97.0,534.0,46.2,27.7,76.3,Strong
32,Region 032,India,1.62,74.4,399.8,59.9,11.3,72.0,Strong
33,Region 033,Chile,0.51,73.0,770.0,61.1,5.0,73.7,Strong
34,Region 034,Japan,3.96,90.6,958.4,39.8,23.7,79.2,Strong
35,Region 035,Finland,1.71,78.0,696.1,61.8,23.7,74.6,Strong
36,Region 036,Jordan,2.71,80.4,438.0,34.4,8.7,80.6,Leading
37,Region 037,France,1.57,92.1,706.9,15.2,13.6,73.3,Strong
38,Region 038,Australia,1.67,62.6,292.3,30.6,14.4,76.4,Strong
39,Region 039,Germany,3.2,88.3,802.9,58.0,11.2,85.6,Leading
40,Region 040,Poland,2.05,81.4,491.9,40.0,5.4,79.6,Leading
41,Region 041,Denmark,3.03,55.5,415.3,21.0,8.7,77.7,Strong
42,Region 042,New Zealand,3.05,96.2,612.7,42.4,29.9,74.5,Strong
43,Region 043,Ghana,1.88,88.2,256.3,45.4,10.5,76.0,Leading
44,Region 044,Poland,2.61,99.0,392.3,44.6,11.1,77.9,Leading
45,Region 045,Kenya,3.04,73.1,581.0,41.1,20.4,66.4,Improving
46,Region 046,Germany,3.46,64.2,410.4,40.2,11.7,72.0,Improving
47,Region 047,Sweden,2.1,99.0,823.1,61.3,9.1,73.3,Leading
48,Region 048,Sweden,2.35,62.6,720.2,35.4,8.0,66.9,Improving
49,Region 049,Denmark,1.5,63.9,207.7,30.6,19.3,71.1,Improving
50,Region 050,Jordan,3.05,87.9,416.0,45.8,16.1,77.2,Strong
51,Region 051,Japan,2.44,71.6,544.7,45.9,22.5,71.1,Improving
52,Region 052,Ireland,1.15,81.1,823.7,6.3,14.1,81.5,Strong
53,Region 053,France,2.04,57.2,367.3,52.3,23.4,75.3,Improving
54,Region 054,Ghana,2.25,52.2,587.3,60.9,14.9,75.4,Improving
55,Region 055,Poland,1.82,68.3,231.5,34.9,11.6,69.6,Improving
56,Region 056,Poland,1.71,86.4,441.3,50.0,17.7,78.6,Strong
57,Region 057,Spain,0.89,73.7,548.8,22.5,18.5,85.0,Strong
58,Region 058,Sweden,2.44,96.0,636.8,53.5,16.2,66.2,Strong
59,Region 059,Japan,1.97,73.0,605.1,20.3,11.0,80.4,Strong
60,Region 060,Japan,3.18,82.8,671.4,41.3,14.3,70.9,Strong
61,Region 061,Kenya,2.26,64.1,525.5,43.8,13.5,79.6,Strong
62,Region 062,Norway,3.11,57.9,512.2,17.7,21.5,79.4,Improving
63,Region 063,Morocco,1.29,57.0,640.4,11.7,25.7,72.6,Improving
64,Region 064,Chile,2.69,66.8,532.1,27.9,21.6,72.2,Improving
65,Region 065,Chile,3.01,99.0,840.2,32.0,20.8,79.2,Leading
66,Region 066,Italy,3.02,60.3,487.9,26.7,23.6,74.3,Improving
67,Region 067,Czechia,2.11,64.1,497.9,13.6,25.3,72.7,Improving
68,Region 068,Kenya,1.57,96.4,456.0,61.0,11.1,82.4,Leading
69,Region 069,Ireland,3.86,71.7,271.8,30.4,7.5,64.7,Improving
70,Region 070,Norway,2.19,86.3,542.4,46.9,15.8,73.3,Strong
71,Region 071,Portugal,1.3,41.1,347.0,2.0,27.9,74.5,Improving
72,Region 072,Denmark,2.18,62.9,409.2,22.5,7.4,72.7,Strong
73,Region 073,Finland,2.66,86.3,757.0,67.7,6.7,77.6,Leading
74,Region 074,Norway,1.73,50.9,271.5,14.3,17.1,69.9,Improving
75,Region 075,Mexico,2.74,81.5,382.7,42.9,11.0,79.9,Leading
