Company_ID,Industry,Company_Size,AI_Adoption_Level_0_100,Automation_Rate_pct,Training_Hours_per_Employee,Productivity_Growth_pct,Layoff_Rate_pct,Employee_Satisfaction_Score_0_100,AI_Tier
1,Logistics,Large,26.0,22.0,8.4,-0.42,11.9,82.1,Early
2,Media,Large,38.7,2.0,22.1,1.3,8.4,69.7,Early
3,Energy,Large,43.7,31.2,14.7,0.54,4.5,60.0,Early
4,Education,Enterprise,44.6,25.4,28.4,0.38,1.7,56.5,Early
5,Logistics,Small,86.9,40.4,26.9,4.72,3.2,58.0,Scaling
6,Retail,Enterprise,56.7,20.9,23.3,2.21,0.6,73.6,Early
7,Agriculture,Enterprise,61.3,47.3,11.2,3.18,9.9,53.9,Early
8,Agriculture,Mid,57.8,30.4,28.3,1.13,2.6,59.4,Early
9,Software,Mid,95.5,38.9,27.3,9.38,9.2,64.7,Advanced
10,Healthcare,Small,37.9,5.9,15.0,2.74,2.7,71.4,Early
11,Energy,Small,68.5,31.4,31.7,3.6,9.1,80.4,Scaling
12,Retail,Mid,39.6,11.9,32.2,0.58,6.5,60.7,Early
13,Logistics,Mid,52.5,45.3,41.9,1.25,7.2,63.4,Early
14,Education,Small,63.9,35.3,28.7,5.23,8.1,71.2,Scaling
15,Manufacturing,Enterprise,30.7,25.1,24.1,0.58,2.3,64.8,Early
16,Retail,Enterprise,48.0,25.3,15.1,2.32,0.0,77.5,Early
17,Software,Mid,67.1,50.7,20.6,4.39,6.7,62.1,Early
18,Healthcare,Large,64.1,34.0,38.4,2.73,7.3,56.4,Scaling
19,Media,Mid,51.0,28.2,20.5,3.08,2.7,61.6,Early
20,Education,Small,99.0,65.1,50.2,2.42,9.7,55.0,Advanced
21,Healthcare,Mid,88.9,44.2,18.4,2.74,9.8,59.5,Scaling
22,Manufacturing,Small,15.4,38.6,18.2,-2.5,7.9,70.5,Early
23,Retail,Large,57.1,26.0,24.1,2.16,6.9,67.8,Early
24,Software,Large,77.0,31.6,22.3,3.27,6.4,66.0,Scaling
25,Media,Small,61.2,41.6,23.6,6.93,7.9,53.9,Early
26,Finance,Small,80.0,36.5,27.6,2.85,3.0,62.3,Scaling
27,Education,Mid,5.0,18.9,20.0,0.06,9.0,61.6,Early
28,Education,Small,35.7,23.0,22.0,2.53,7.1,69.3,Early
29,Energy,Small,82.8,37.9,40.3,7.95,7.7,95.0,Advanced
30,Energy,Large,76.9,34.6,53.9,6.04,2.8,67.8,Advanced
31,Energy,Small,96.1,26.2,39.4,7.36,0.8,82.5,Advanced
32,Logistics,Large,84.8,54.2,34.3,8.72,11.5,55.2,Scaling
33,Energy,Mid,31.9,15.5,12.5,-2.37,1.6,57.4,Early
34,Agriculture,Mid,73.6,20.8,23.2,2.75,4.8,48.4,Scaling
35,Retail,Large,49.9,29.0,8.2,1.29,7.0,56.5,Early
36,Media,Enterprise,58.8,22.9,31.3,3.17,6.2,79.3,Scaling
37,Logistics,Mid,56.0,45.0,11.3,1.21,9.4,63.4,Early
38,Energy,Mid,46.6,34.8,31.5,4.82,6.3,81.0,Early
39,Logistics,Large,45.9,19.8,17.0,0.81,1.8,63.5,Early
40,Education,Small,68.9,23.2,31.6,2.56,4.6,80.3,Scaling
41,Energy,Small,45.2,34.4,29.7,3.4,6.2,63.0,Early
42,Media,Small,58.9,22.4,7.7,1.05,8.4,72.3,Early
43,Logistics,Mid,63.7,15.8,19.4,1.04,6.3,82.9,Scaling
44,Manufacturing,Mid,45.4,16.8,28.1,-0.34,8.6,64.8,Early
45,Manufacturing,Large,49.9,46.5,30.0,2.44,9.9,53.2,Early
46,Software,Enterprise,87.7,20.7,38.9,7.38,1.0,91.1,Advanced
47,Software,Mid,36.4,9.9,19.8,3.26,5.3,58.5,Early
48,Healthcare,Large,42.9,34.2,23.3,3.03,8.2,60.7,Early
49,Agriculture,Large,30.9,32.0,40.2,2.12,4.1,68.3,Early
50,Manufacturing,Enterprise,58.9,26.7,28.6,2.04,10.5,75.3,Scaling
