order_id,customer_id,order_date,region,product_id,quantity,price_usd,discount_pct,returned,product,category,brand,color_or_size,cost_usd,profit_usd,supplier,warehouse,defective,support_ticket_id,support_issue_type,support_issue_text,response_time_min,resolved,support_cost_usd,delivery_days,shipping_speed,return_reason
1,1023,2024-01-24,East,P400,1,107,0,0,Backpack,Accessories,Brand B,Blue,61.96,45.04,Supplier A,A,0,,,,0,1,0.0,5,Standard,
2,1090,2024-02-27,West,P300,2,67,20,0,Running Shoes,Apparel,Brand R,Size 42,31.07,76.13,Supplier A,A,0,,,,0,1,0.0,4,Standard,
3,1017,2024-01-03,North,P300,3,29,5,0,Running Shoes,Apparel,Brand R,Size 42,16.98,65.67,Supplier A,C,0,,,,0,1,0.0,5,Standard,
4,1007,2024-02-16,West,P400,2,103,20,0,Backpack,Accessories,Brand B,Blue,53.11,111.69,Supplier A,A,0,,,,0,1,0.0,4,Standard,
5,1099,2024-01-18,North,P300,2,95,0,0,Running Shoes,Apparel,Brand R,Size 42,50.12,139.88,Supplier A,B,0,,,,0,1,0.0,5,Standard,
6,1028,2024-02-29,West,P400,1,54,15,0,Backpack,Accessories,Brand B,Blue,26.0,19.9,Supplier Z,A,0,,,,0,1,0.0,4,Standard,
7,1034,2024-02-20,East,P500,1,79,0,0,Coffee Mug,Home,Brand H,Black,49.9,29.1,Supplier A,A,0,,,,0,1,0.0,1,Express,
8,1085,2024-02-17,North,P100,3,137,0,0,Headphones,Electronics,Brand X,Black,81.56,329.44,Supplier Z,C,0,,,,0,1,0.0,5,Express,
9,1089,2024-01-14,East,P300,1,49,5,0,Running Shoes,Apparel,Brand R,Size 42,33.88,12.67,Supplier Z,B,0,,,,0,1,0.0,4,Express,
10,1012,2024-01-30,West,P200,3,138,0,0,Wireless Earbuds,Electronics,Brand Y,White,92.28,321.72,Supplier B,B,0,T10,Late delivery,Customer reported: late delivery,266,1,9.06,8,Standard,
11,1026,2024-02-13,West,P300,2,100,15,1,Running Shoes,Apparel,Brand R,Size 42,64.24,105.76,Supplier B,C,0,T11,Missing item,Customer reported: missing item,260,1,10.44,3,Standard,Wrong size
12,1023,2024-02-02,North,P100,3,130,0,0,Headphones,Electronics,Brand X,Black,52.27,337.73,Supplier B,A,0,,,,0,1,0.0,3,Standard,
13,1055,2024-02-08,West,P300,1,132,0,0,Running Shoes,Apparel,Brand R,Size 42,68.79,63.21,Supplier A,A,0,,,,0,1,0.0,1,Standard,
14,1054,2024-01-02,South,P100,2,127,20,0,Headphones,Electronics,Brand X,Black,52.06,151.14,Supplier A,B,0,T14,Late delivery,Customer reported: late delivery,189,1,16.85,8,Standard,
15,1069,2024-02-17,East,P300,2,137,0,0,Running Shoes,Apparel,Brand R,Size 42,69.92,204.08,Supplier B,B,0,,,,0,1,0.0,4,Standard,
16,1039,2024-02-01,West,P500,3,17,5,0,Coffee Mug,Home,Brand H,Black,7.92,40.53,Supplier B,C,0,,,,0,1,0.0,4,Express,
17,1068,2024-01-16,West,P200,1,118,0,1,Wireless Earbuds,Electronics,Brand Y,White,51.22,66.78,Supplier Z,C,1,T17,Defective item,Customer reported: defective item,31,1,24.31,1,Standard,Wrong size
18,1071,2024-02-02,West,P500,3,23,0,0,Coffee Mug,Home,Brand H,Black,14.21,54.79,Supplier Z,C,0,,,,0,1,0.0,4,Standard,
